OBJECTID,StructID,StudyCity,Occupancy,OccupancyClass,Cost,ContentCost,NumStories,Area,FoundationType,FirstFloorHt,BuildingType,Dept_in_Struc,BldgDmgPct,ContDmgPct,BldgLossUSD,ContentLossUSD,InventoryLossUSD,Total_Loss,Community,PageName,Depth_Grid,Scenario_Frequency,InvDmgPct,InventoryCostUSD,GridName
56,169151710900601,Schuyler,1,RES1,40038,20019,1,1832,7,-3.21,1,3.389993,42.72995,47.119942,17110,9430,0,26540,Schuyler County,Schuyler County 4 - ACE 0.2%,0.523743,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
57,169151712800401,Schuyler,1,RES1,17670,8835,2,1356,4,1.24,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
58,169151712800502,Schuyler,1,RES1,1374,687,1,513,7,-6.82,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
59,169151712900101,Schuyler,1,RES1,46497,23248,1,3339,4,4.55,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
60,169151710900401,Schuyler,1,RES1,22068,11034,1,1277,4,4.1,4,-3.920007,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,0.179993,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
61,169151710300201,Schuyler,1,RES1,17229,8614,1,1711,4,2.88,1,0.581243,29.487455,17.743729,5080,1530,0,6610,Schuyler County,Schuyler County 4 - ACE 0.2%,3.461243,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
62,169151712700101,Schuyler,1,RES1,14415,7208,1,1116,7,-1.81,1,1.989993,31.909933,35.899925,4600,2590,0,7190,Schuyler County,Schuyler County 4 - ACE 0.2%,0.179993,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
63,169151710300101,Schuyler,7,EDU1,2658,2658,2,2960,4,0.39,4,3.071243,9,53.783669,240,1430,0,1670,Schuyler County,Schuyler County 4 - ACE 0.2%,3.461243,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
64,169151712700102,Schuyler,1,RES1,25369,12684,1,1964,4,3.66,1,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
65,169151710200101,Schuyler,1,RES2,10647,5324,1,3366,7,2.4,5,,0,0,0,0,0,0,Schuyler County,Schuyler County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
66,17040140050001,Cass,1,RES1,122670,61335,1,2590,4,8.74,4,,0,0,0,0,0,0,Cass County,Cass County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
67,17040140050101,Cass,3,IND1,73266,109899,1,2750,7,-0.22,2,,0,0,0,0,0,0,Cass County,Cass County 4 - ACE 0.2%,,ACE 0.2,0,98038,DEPTH_ACE02_ILRIVER
68,17040140050102,Cass,1,RES1,29333,14666,2,1101,4,2.95,1,,0,0,0,0,0,0,Cass County,Cass County 4 - ACE 0.2%,,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
69,17040040080101,Cass,1,RES1,49500,24750,2,2739,6,6.54,1,0.843514,11.843514,10.530543,5860,2610,0,8470,Cass County,Cass County 3 - ACE 0.2%,7.383514,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
70,17040030090001,Cass,4,AGR1,2175,2175,1,2079,7,0,1,9.633759,49.168793,75.633759,1070,1640,24620,27330,Cass County,Cass County 2 - ACE 0.2%,9.633759,ACE 0.2,100,24615,DEPTH_ACE02_ILRIVER
71,17040040060001,Cass,1,RES1,12302,6151,2,1126,6,2.47,1,5.288758,22.577517,34.732552,2780,2140,0,4920,Cass County,Cass County 2 - ACE 0.2%,7.758759,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
72,17040030090002,Cass,4,AGR1,826,826,1,790,7,0,1,9.446259,48.231293,75.446259,400,620,9350,10370,Cass County,Cass County 2 - ACE 0.2%,9.446259,ACE 0.2,100,9354,DEPTH_ACE02_ILRIVER
73,17040040040001,Cass,4,AGR1,750,750,1,3142,7,0,2,7.46637,37.798218,68.399109,280,510,37200,37990,Cass County,Cass County 3 - ACE 0.2%,7.46637,ACE 0.2,100,37201,DEPTH_ACE02_ILRIVER
74,17040040060002,Cass,4,AGR1,17699,17699,1,1620,6,0,1,9.446259,48.231293,75.446259,8540,13350,19180,41070,Cass County,Cass County 2 - ACE 0.2%,9.540009,ACE 0.2,100,19181,DEPTH_ACE02_ILRIVER
75,17040500060006,Cass,1,RES1,90,45,1,820,7,3.57,1,6.4925,60.970001,65.970001,60,30,0,90,Cass County,Cass County 2 - ACE 0.2%,10.0625,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
76,17040500060001,Cass,1,RES1,109,54,1,988,7,6.2,1,6.33125,60.325001,65.324997,70,40,0,110,Cass County,Cass County 2 - ACE 0.2%,12.53125,ACE 0.2,0,0,DEPTH_ACE02_ILRIVER
